drink_id,ingredient_name,quantity,is_allergen
157,Gin,1 1/2 oz,f
157,Grenadine,1 tsp,f
157,Powdered sugar,1 tblsp,f
157,Pineapple,3 chunks,f
157,Strawberries,2,f
157,Carbonated water,,f
158,Malibu rum,1 1/2 cl,f
158,Peach schnapps,1 1/2 cl,f
158,Blue Curacao,1 1/2 cl,f
158,Sweet and sour,3 cl,f
159,Gin,2 oz,f
159,Carbonated water,,f
159,Powdered sugar,,f
159,Orange spiral,,f
159,Lemon peel,,f
160,Lime juice,1 1/2 oz,f
160,Sugar,1 tsp superfine,f
160,Gin,2 oz,f
160,Bitters,1 dash,f
160,Club soda,3 oz,f
161,Gin,1 1/2 oz,f
161,Triple sec,1 oz,f
161,Pineapple juice,1 oz,f
161,Grenadine,1/2 tsp,f
161,Pineapple,1,f
162,Green Creme de Menthe,3/4 oz,f
162,Creme de Cacao,3/4 oz white,f
162,Light cream,3/4 oz,f
163,Kahlua,1 oz,f
163,151 proof rum,1 oz Bacardi,f
163,Grenadine,1 dash,f
164,Gin,2 oz,f
164,Soda Water,5 oz,f
164,Lime,1/4,f
165,Whisky,4 cl,f
165,Baileys irish cream,8 cl,f
165,Coffee,,f
166,White Rum,6 cl,f
166,Honey,2 cl,f
166,Lemon Juice,2 cl,f
167,Whiskey,50 ml,f
167,Honey,15 ml,f
167,Cinnamon,1,f
167,lemon,1,f
167,Cloves,2,f
168,Hot Damn,5 shots,f
168,Tea,very sweet,f
169,Lemon peel,1 long strip,f
169,Brandy,2 oz,f
169,Ginger ale,5 oz,f
169,Bitters,2 dashes,f
170,Spiced rum,1 1/2 cl,f
170,Ginger ale,,f
170,Lime,,f
170,Ice,,f
171,Vermouth,25 ml,f
171,Maraschino Cherry,15 ml,f
171,Sugar Syrup,10 ml,f
171,Lemonade,100 ml,f
171,Blackberries,2,f
172,Cherry Juice,1 bottle,f
172,Orange Peel,3,f
172,Red Chili Flakes,1,f
172,Cloves,10,f
172,Ginger,6,f
172,Vodka,20 cl,f
173,Light rum,1 oz,f
173,Pineapple juice,1 oz,f
173,Lemon juice,1 tsp,f
174,Grape juice,,f
174,Carbonated soft drink,", orange",f
174,Sherbet,,f
175,Sugar,2 1/2 cups,f
175,Corn syrup,1 cup,f
175,Coffee,1 1/2 oz instant,f
175,Vanilla extract,2 oz,f
175,Water,3 cups boiling,f
175,Vodka,1 fifth,f
176,Irish whiskey,1 shot,f
176,Baileys irish cream,3/4 shot,f
176,Coffee,6 oz hot,f
177,Vodka,1 oz,f
